Date,AAPL close,AAPL signal,Cash,AAPL shorted,AAPL bought,AAPL cash,AAPL sold,Daily_Ret
2000-05-11,0.91796875,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-12,0.9609375,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-15,0.9017857313156128,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-16,0.9436383843421936,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-17,0.9051339030265808,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-18,0.8995535969734192,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-19,0.8392857313156128,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-22,0.8030133843421936,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-23,0.7661830186843872,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-24,0.7829241156578064,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-25,0.7791573405265808,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-26,0.7712053656578064,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-30,0.7818080186843872,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-05-31,0.75,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-01,0.7957589030265808,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-02,0.8264508843421936,1,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-05,0.8152901530265808,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-06,0.8292410969734192,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-07,0.8621651530265808,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-08,0.8465401530265808,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-09,0.8549107313156128,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-12,0.8141741156578064,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-13,0.84375,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-14,0.8074776530265808,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-15,0.8247767686843872,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-16,0.8141741156578064,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-19,0.8627232313156128,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-20,0.9040178656578064,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-21,0.9933035969734192,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-22,0.9598214030265808,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-23,0.9229910969734192,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-26,0.9665178656578064,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-27,0.9241071343421936,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-28,0.9720982313156128,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-29,0.9151785969734192,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-06-30,0.9352678656578064,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-07-03,0.9520089030265808,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-07-05,0.921875,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-07-06,0.9252232313156128,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-07-07,0.9720982313156128,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-07-10,1.0200892686843872,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-07-11,1.0167410373687744,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-07-12,1.0513392686843872,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-07-13,1.0089285373687744,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-07-14,1.0301339626312256,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-07-17,1.0412946939468384,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-07-18,1.0223214626312256,0,16136.096706656013,0,0,16136.096706656013,0,0.0
2000-07-19,0.9408482313156128,-1,18369.65551664776,0,0,18369.65551664776,0,0.1384200188308502
2000-07-20,0.984375,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-07-21,0.9564732313156128,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-07-24,0.8694196343421936,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-07-25,0.8939732313156128,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-07-26,0.8939732313156128,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-07-27,0.9285714030265808,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-07-28,0.8627232313156128,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-07-31,0.9073660969734192,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-01,0.8805803656578064,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-02,0.84375,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-03,0.8571428656578064,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-04,0.8459821343421936,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-07,0.8560267686843872,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-08,0.8348214030265808,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-09,0.8482142686843872,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-10,0.8493303656578064,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-11,0.8515625,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-14,0.8404017686843872,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-15,0.8337053656578064,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-16,0.8660714030265808,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-17,0.9185267686843872,1,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-18,0.8928571343421936,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-21,0.9017857313156128,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-22,0.9229910969734192,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-23,0.9698660969734192,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-24,1.001953125,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-25,1.0145089626312256,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-28,1.0368303060531616,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-29,1.0569196939468384,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-30,1.0625,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-08-31,1.0881696939468384,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-09-01,1.1328125,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-09-05,1.1149553060531616,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-09-06,1.0435267686843872,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-09-07,1.1071428060531616,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-09-08,1.0513392686843872,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-09-11,1.0435267686843872,0,18369.65551664776,0,0,18369.65551664776,0,0.0
2000-09-12,1.03125,-1,20624.01216534627,0,0,20624.01216534627,0,0.12272177051199828
2000-09-13,1.0357142686843872,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-09-14,1.0153459310531616,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-09-15,0.986328125,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-09-18,1.0831472873687744,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-09-19,1.0703125,0,20624.01216534627,0,0,20624.01216534627,0,0.0
2000-09-20,1.0901228189468384,0,20624.01216534627,0,0,20624.01216534627,0,0.0
